ano,mes,preco_ouro,ipc,indice_nyse
2021,1,1866.25,261.58,14835.83
2021,2,1808.09,263.01,15189.24
2021,3,1721.41,264.88,15478.21
2021,4,1759.02,267.05,16060.35
2021,5,1852.49,269.2,16381.96
2021,6,1831.89,271.7,16574.03
2021,7,1805.65,273.0,16519.67
2021,8,1786.16,273.57,16721.35
2021,9,1777.28,274.31,16546.07
2021,10,1776.3,276.59,16747.65
2021,11,1817.9,277.95,17079.32
2021,12,1792.5,278.8,16791.89
2022,1,1815.91,281.15,16863.79
2022,2,1859.03,283.72,16588.7
2022,3,1951.53,287.5,16331.41
2022,4,1936.99,289.11,16393.95
2022,5,1848.08,292.3,15394.96
2022,6,1836.76,296.31,14958.37
2022,7,1736.47,296.28,14681.97
2022,8,1763.07,296.17,15398.62
2022,9,1680.73,296.81,14416.06
2022,10,1665.62,298.01,14091.56
2022,11,1729.21,297.71,15153.53
2022,12,1797.46,296.8,15293.81
